,Embedding,Num_layers,Size,Dropout,Reg,Gen.,Prec.,Fit.,average
0,Yes,1,16,0.0,0.0,0.05516529700926864,0.9476458333333336,0.9550884168975775,0.6526331824133933
1,Yes,1,16,0.0,1e-05,0.08160325158822303,0.9466145833333337,0.9538276491739858,0.6606818280318475
2,Yes,1,16,0.0,0.0001,0.6206190023758633,0.9402187500000002,0.9429441504031202,0.8345939675929946
3,Yes,1,16,0.0,0.001,0.6492496748005949,0.9280208333333338,0.9303853743931227,0.8358852941756837
4,Yes,1,16,0.0,0.01,0.7132827876081815,0.9072916666666668,0.9089920742782007,0.8431888428510165
5,Yes,1,16,0.2,0.0,0.03068399662602561,0.9448125,0.9524283503440473,0.642641615656691
6,Yes,1,16,0.2,1e-05,0.16422594579699143,0.9447187500000003,0.9512218779390162,0.686722191245336
7,Yes,1,16,0.2,0.0001,0.5077022234679397,0.9357187500000003,0.9392701712099212,0.794230381559287
8,Yes,1,16,0.2,0.001,0.5646653737737581,0.7042083333333333,0.7054408322794447,0.6581048464621787
9,Yes,1,16,0.2,0.01,0.20255206852073526,0.2732916666666667,0.2738858917774113,0.24990987565493775
10,Yes,1,16,0.4,0.0,0.23280486978497622,0.9399270833333335,0.9458768104506977,0.7062029211896692
11,Yes,1,16,0.4,1e-05,0.2579989226833687,0.9361562500000002,0.941820870645216,0.7119920144428616
12,Yes,1,16,0.4,0.0001,0.5565499182048383,0.9053541666666669,0.9082447725017934,0.7900496191244328
13,Yes,1,16,0.4,0.001,0.2606433346799115,0.37662500000000004,0.37763781690530607,0.33830205052840584
14,Yes,1,16,0.4,0.01,0.17137272317500563,0.20555208333333347,0.20584379642629588,0.19425620097821164
15,Yes,1,32,0.0,0.0,0.0011904761904761906,0.9480520833333335,0.9559400961588592,0.6350608852275563
16,Yes,1,32,0.0,1e-05,0.09449636620332529,0.9445520833333336,0.9516200224616137,0.6635561573327576
17,Yes,1,32,0.0,0.0001,0.5254064620410032,0.9420833333333335,0.9455502885314699,0.8043466946352688
18,Yes,1,32,0.0,0.001,0.6596697452758336,0.9335833333333334,0.9359559882798231,0.8430696889629967
19,Yes,1,32,0.0,0.01,0.62378372525067,0.9110729166666668,0.913571731551769,0.8161427911563686
